Energy_min Energy_max E_avg Model Element Map_Value HDI68_Lower_Error HDI68_Upper_Error hdi_up_95 QCount2_5_Map QCount97_5_Map
19.4 19.5 19.444663316573514 Sibyll2.3e 100 0.0 0.0 0.0915 0.1917 0 0.2208
19.4 19.5 19.444663316573514 Sibyll2.3e 400 0.225 0.2149 0.0487 0.4571 0.0114 0.5097
19.4 19.5 19.444663316573514 Sibyll2.3e 1400 0.7006 0.2322 0.0891 0.8911 0.229 0.8662
19.4 19.5 19.444663316573514 Sibyll2.3e 5600 0.0744 0.0545 0.0929 0.2618 0.0087 0.2934
* * * * * * * * * * *
19.5 19.6 19.549438511046496 Sibyll2.3e 100 0.0019 0.0019 0.1194 0.2486 0 0.2873
19.5 19.6 19.549438511046496 Sibyll2.3e 400 0.2286 0.2286 0.0669 0.5588 0.0103 0.6329
19.5 19.6 19.549438511046496 Sibyll2.3e 1400 0.7695 0.2665 0.0523 0.9125 0.2381 0.8847
19.5 19.6 19.549438511046496 Sibyll2.3e 5600 0.0 0.0 0.0551 0.138 0 0.1668
* * * * * * * * * * *
19.6 21.0 19.710021587760483 Sibyll2.3e 100 0.0003 0.0003 0.0602 0.1452 0 0.1737
19.6 21.0 19.710021587760483 Sibyll2.3e 400 0.0007 0.0007 0.1411 0.3226 0 0.3789
19.6 21.0 19.710021587760483 Sibyll2.3e 1400 0.8411 0.3712 -0.044 0.9037 0.2204 0.877
19.6 21.0 19.710021587760483 Sibyll2.3e 5600 0.158 0.0557 0.1703 0.4466 0.039 0.4706
